request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68620,180,3538,2325,4186.0,15.59,0.25
68620,300,1454,1372,3488.0,12.99,0.75
68620,360,2554,3575,3298.0,12.28,0.5
68621,300,2097,2557,2139.0,7.96,0.5
68621,360,4142,857,1852.0,6.9,1.0
68621,420,3617,3440,1921.0,7.15,0.25
68621,180,612,279,4139.0,15.41,0.75
68622,480,251,1240,1288.0,4.8,0.5
68622,420,2509,2317,4861.0,18.1,0.5
68622,420,3078,1403,1964.0,7.31,1.0
68622,360,1725,948,5972.0,22.24,0.5
68622,420,2395,2189,1721.0,6.41,0.75
68623,360,3464,2482,2606.0,9.7,0.75
68623,480,3936,4031,1576.0,5.87,0.5
68623,300,18,1060,5244.0,19.53,1.0
68626,240,3157,1612,6474.0,24.1,0.75
68626,480,122,2481,3189.0,11.87,0.5
68626,480,1399,2203,1889.0,7.03,1.0
68626,300,3798,2510,1432.0,5.33,0.25
68627,300,1396,2210,2432.0,9.06,0.75
68627,360,3664,1067,3767.0,14.03,0.25
68627,360,547,2009,3802.0,14.16,1.0
68627,420,3334,1896,4304.0,16.03,1.0
68627,300,2104,293,5493.0,20.45,0.25
68627,360,1296,1077,6392.0,23.8,1.0
68627,300,919,2484,8612.0,32.07,0.25
68628,420,2316,1615,5697.0,21.21,1.0
68628,240,2780,464,2151.0,8.01,1.0
68628,420,3529,2009,6114.0,22.76,0.25
68629,420,3430,3313,1179.0,4.39,1.0
68629,300,218,3401,4056.0,15.1,0.5
68629,180,2457,3512,6479.0,24.12,0.25
68630,300,4354,4077,4605.0,17.15,0.5
68630,360,3536,3173,3621.0,13.48,0.5
68631,300,2099,3154,1387.0,5.16,1.0
68631,180,3011,1434,4844.0,18.04,0.5
68632,480,1860,3089,4888.0,18.2,0.75
68633,360,3433,51,1503.0,5.6,0.25
68633,360,1692,1338,3183.0,11.85,1.0
68633,420,1332,1275,4151.0,15.46,0.25
